incident_id,incident_title,incident_date,paused_at,incident_description,loss_usd,chain,source_link,b_safe_layer,b_safe_risk_category,technical_footprint,attacker_type,recovery_status,time_to_discovery_days,impact_score,likelihood_score,detectability_score,composite_risk_score
1,20210522_DeFi100_S,2021-05-22,,"DeFi100 coin exit scams, and runs away with $32 million in investors funds.",32000000,BNB Chain,https://gadgets360.com/internet/news/defi100-crypto-scam-usd-32-million-rs-233-crore-2448231,AUX,AUX-2: Frontend Exploit,"{""chain"": ""BNB Chain"", ""platform_type"": ""EVM"", ""consensus_mechanism"": ""PoS-DPoS"", ""audit_status"": ""Not Audited"", ""key_management"": ""Centralized Custody"", ""oracle_dependency"": ""Not Applicable"", ""economic_exploit_vectors"": [], ""code_level_defenses"": [], ""vulnerability_source"": ""Social Engineering""}",Insider,Funds Lost,,4,5,1,3.9
1,20210522_DeFi100_S,2021-05-22,,"DeFi100 coin exit scams, and runs away with $32 million in investors funds.",32000000,BNB Chain,https://gadgets360.com/internet/news/defi100-crypto-scam-usd-32-million-rs-233-crore-2448231,AUX,AUX-1: Private Key Compromise,"{""chain"": ""BNB Chain"", ""platform_type"": ""EVM"", ""consensus_mechanism"": ""PoS-DPoS"", ""audit_status"": ""Not Audited"", ""key_management"": ""Centralized Custody"", ""oracle_dependency"": ""Not Applicable"", ""economic_exploit_vectors"": [], ""code_level_defenses"": [], ""vulnerability_source"": ""Private Key Compromise""}",Insider,Funds Lost,,4,5,1,3.9
1,20210522_DeFi100_S,2021-05-22,,"DeFi100 coin exit scams, and runs away with $32 million in investors funds.",32000000,BNB Chain,https://www.coindesk.com/people-behind-crypto-protocol-defi100-may-have-absconded-with-32m-in-investor-funds,AUX,AUX-2: Frontend Exploit,"{""chain"": ""BNB Chain"", ""platform_type"": ""EVM"", ""consensus_mechanism"": ""PoS-DPoS"", ""audit_status"": ""Not Audited"", ""key_management"": ""Centralized Custody"", ""oracle_dependency"": ""Not Applicable"", ""economic_exploit_vectors"": [], ""code_level_defenses"": [], ""vulnerability_source"": ""Social Engineering""}",Insider,Funds Lost,,4,5,1,3.9
1,20210522_DeFi100_S,2021-05-22,,"DeFi100 coin exit scams, and runs away with $32 million in investors funds.",32000000,BNB Chain,https://www.coindesk.com/people-behind-crypto-protocol-defi100-may-have-absconded-with-32m-in-investor-funds,AUX,AUX-1: Private Key Compromise,"{""chain"": ""BNB Chain"", ""platform_type"": ""EVM"", ""consensus_mechanism"": ""PoS-DPoS"", ""audit_status"": ""Not Audited"", ""key_management"": ""Centralized Custody"", ""oracle_dependency"": ""Not Applicable"", ""economic_exploit_vectors"": [], ""code_level_defenses"": [], ""vulnerability_source"": ""Private Key Compromise""}",Insider,Funds Lost,,4,5,1,3.9
2,20211226_MetaDAO_S,2021-12-26,,"Early this morning, PeckShield, a blockchain security company, issued an alert that MetaDAO had made off with 800 ETH, worth over $3.2 million at press time, in an apparent rug pull scam.",3200000,Ethereum,https://cryptobriefing.com/metadao-makes-off-with-3-2m-in-rug-pull/,AUX,AUX-3: Rug Pull,"{""chain"": ""Ethereum"", ""platform_type"": ""EVM"", ""consensus_mechanism"": ""Proof-of-Work"", ""audit_status"": ""Not Audited"", ""key_management"": ""Centralized Custody"", ""oracle_dependency"": ""Not Applicable"", ""economic_exploit_vectors"": [], ""code_level_defenses"": [], ""vulnerability_source"": ""Malicious Intent""}",Insider,Funds Lost,,3,5,1,3.4
3,20210208_BTFinance_CS,2021-02-08,2021-09-02 12:00:00,BT Finance BT got exploited with flash loans. Around 1.5M drained. Similar to yearn finance hack.,1600000,Ethereum,https://github.com/OriginProtocol/security/blob/master/incidents/2021-02-09-BT-finance.md,PRO,PRO-2: Oracle Manipulation,"{""chain"": ""Ethereum"", ""platform_type"": ""EVM"", ""consensus_mechanism"": ""Proof-of-Work"", ""audit_status"": ""Not Audited"", ""key_management"": null, ""oracle_dependency"": ""Spot Price from DEX"", ""economic_exploit_vectors"": [""Flash Loan""], ""code_level_defenses"": [], ""vulnerability_source"": ""Economic Design Flaw""}",Blackhat,Funds Lost,206,3,3,2,2.5
3,20210208_BTFinance_CS,2021-02-08,2021-09-02 12:00:00,BT Finance BT got exploited with flash loans. Around 1.5M drained. Similar to yearn finance hack.,1600000,Ethereum,https://opensea.io/assets/ethereum/0xe18a32192ed95b0fe9d70d19e5025f103475d7ba/57896044618658097711785492504343953927315557066662158946655541218820101244713,PRO,PRO-2: Oracle Manipulation,"{""chain"": ""Ethereum"", ""platform_type"": ""EVM"", ""consensus_mechanism"": ""Proof-of-Work"", ""audit_status"": ""Not Audited"", ""key_management"": null, ""oracle_dependency"": ""Spot Price from DEX"", ""economic_exploit_vectors"": [""Flash Loan""], ""code_level_defenses"": [], ""vulnerability_source"": ""Economic Design Flaw""}",Blackhat,Funds Lost,206,3,3,2,2.5
3,20210208_BTFinance_CS,2021-02-08,2021-09-02 12:00:00,BT Finance BT got exploited with flash loans. Around 1.5M drained. Similar to yearn finance hack.,1600000,Ethereum,https://twitter.com/btdotfinance/status/1358989066814033920,PRO,PRO-2: Oracle Manipulation,"{""chain"": ""Ethereum"", ""platform_type"": ""EVM"", ""consensus_mechanism"": ""Proof-of-Work"", ""audit_status"": ""Not Audited"", ""key_management"": null, ""oracle_dependency"": ""Spot Price from DEX"", ""economic_exploit_vectors"": [""Flash Loan""], ""code_level_defenses"": [], ""vulnerability_source"": ""Economic Design Flaw""}",Blackhat,Funds Lost,206,3,3,2,2.5
3,20210208_BTFinance_CS,2021-02-08,2021-09-02 12:00:00,BT Finance BT got exploited with flash loans. Around 1.5M drained. Similar to yearn finance hack.,1600000,Ethereum,https://twitter.com/emilianobonassi/status/1358884929313140736?s=20,PRO,PRO-2: Oracle Manipulation,"{""chain"": ""Ethereum"", ""platform_type"": ""EVM"", ""consensus_mechanism"": ""Proof-of-Work"", ""audit_status"": ""Not Audited"", ""key_management"": null, ""oracle_dependency"": ""Spot Price from DEX"", ""economic_exploit_vectors"": [""Flash Loan""], ""code_level_defenses"": [], ""vulnerability_source"": ""Economic Design Flaw""}",Blackhat,Funds Lost,206,3,3,2,2.5
4,20210629_MerlinLab_RS,2021-06-29,,"Via the smart contract, a hacker deposited 0.1WBNB into the vault and then manually transferred 1000BNB into the contract to trick the contract into thinking it has received 1000BNB in rewards...",330000,BNB Chain,https://docs.google.com/spreadsheets/d/19EQyMRdNktDOR4DbmSbLXeSGHmemnKqKVvgYvGS_1Wc/edit#gid=0,PRO,PRO-5: Token Minting Abuse,"{""chain"": ""BNB Chain"", ""platform_type"": ""EVM"", ""consensus_mechanism"": ""PoS-DPoS"", ""audit_status"": ""Not Audited"", ""key_management"": null, ""oracle_dependency"": ""Not Applicable"", ""economic_exploit_vectors"": [""Liquidity Manipulation""], ""code_level_defenses"": [], ""vulnerability_source"": ""Economic Design Flaw""}",Blackhat,Funds Lost,,2,3,2,2
